"venue","year","paper_type","title","speakers","authors","affiliations","arxiv_ids","session_name","scheduled_date","scheduled_time","duration_minutes","presentation_url","video_url","youtube_id","award","notes","_entry_id","_entry_type","_url","_howpublished","abstract"
"TQC","2023","regular","On the power of nonstandard quantum oracles","Kunal Marwaha","Roozbeh Bassirian; Bill Fefferman; Kunal Marwaha","","2212.00098","","2023-07-28","11:45:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T7817","Conference","https://arxiv.org/abs/2212.00098","Talk and Proceedings","We study how the choices made when designing an oracle affect the complexity of quantum property testing problems defined relative to this oracle. We encode a regular graph of even degree as an invertible function f, and present f in different oracle models. We first give a one-query QMA protocol to test if a graph encoded in f has a small disconnected subset. We then use representation theory to show that no classical witness can help a quantum verifier efficiently decide this problem relative to an in-place oracle. Perhaps surprisingly, a simple modification to the standard oracle prevents a quantum verifier from efficiently deciding this problem, even with access to an unbounded witness."
"TQC","2023","regular","Efficient Tomography of Non-Interacting Fermion States","Sabee Grewal","Scott Aaronson; Sabee Grewal","","","","2023-07-26","13:30:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T8570","Conference","","Talk and Proceedings","We give an efficient algorithm that learns a non-interacting fermion state, given copies of the state. For a system of n non-interacting fermions and m modes, we show that O(m^3 n^2 łog(1/delta) / eps^4) copies of the input state and O(m^4 n^2 łog(1/delta)/ eps^4) time are sufficient to learn the state to trace distance at most eps with probability at least 1 - delta. Our algorithm empirically estimates one-mode correlations in O(m) different measurement bases and uses them to reconstruct a succinct description of the entire state efficiently."
"TQC","2023","regular","Quantum policy gradient algorithms","Sofiene Jerbi","Sofiene Jerbi; Arjan Cornelissen; Maris Ozols; Vedran Dunjko","","2212.09328","","2023-07-26","16:10:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T8953","Conference","https://arxiv.org/abs/2212.09328","Talk and Proceedings","Understanding the power and limitations of quantum access to data in machine learning tasks is primordial to assess the potential of quantum computing in artificial intelligence. Previous works have already shown that speed-ups in learning are possible when given quantum access to reinforcement learning environments. Yet, the applicability of quantum algorithms in this setting remains very limited, notably in environments with large state and action spaces. In this work, we design quantum algorithms to train state-of-the-art reinforcement learning policies by exploiting quantum interactions with an environment. However, these algorithms only offer full quadratic speed-ups in sample complexity over their classical analogs when the trained policies satisfy some regularity conditions. Interestingly, we find that reinforcement learning policies derived from parametrized quantum circuits are well-behaved with respect to these conditions, which showcases the benefit of a fully-quantum reinforcement learning framework."
"TQC","2023","regular","Local Hamiltonians with no low-energy stabilizer states","Nolan J. Coble","Nolan Coble; Matthew Coudron; Jon Nelson; Seyed Sajjad Nezhadi","","2302.14755","","2023-07-28","15:40:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T9486","Conference","https://arxiv.org/abs/2302.14755","Talk and Proceedings","The recently-defined No Low-energy Sampleable States (NLSS) conjecture of Gharibian and Le Gall [GL22] posits the existence of a family of local Hamiltonians where all states of low-enough constant energy do not have succinct representations allowing perfect sampling access. States that can be prepared using only Clifford gates (i.e. stabilizer states) are an example of sampleable states, so the NLSS conjecture implies the existence of local Hamiltonians whose low-energy space contains no stabilizer states. We describe families that exhibit this requisite property via a simple alteration to local Hamiltonians corresponding to CSS codes. Our method can also be applied to the recent NLTS Hamiltonians of Anshu, Breuckmann, and Nirkhe [ABN22], resulting in a family of local Hamiltonians whose low-energy space contains neither stabilizer states nor trivial states. We hope that our techniques will eventually be helpful for constructing Hamiltonians which simultaneously satisfy NLSS and NLTS. [GL22] Sevag Gharibian and François Le Gall. Dequantizing the Quantum Singular Value Transfor- mation: Hardness and Applications to Quantum Chemistry and the Quantum PCP Conjecture. doi:10.1145/3519935.3519991 [ABN22] Anurag Anshu, Nikolas Breuckmann, and Chinmay Nirkhe. NLTS Hamiltonians from good quantum codes, Jun 2022. arXiv:2206.13228"
"TQC","2023","regular","A Graphical #SAT Algorithm for Formulae with Small Clause Density","Tuomas Laakkonen","Tuomas Laakkonen; Konstantinos Meichanetzidis; John Wetering","","","","2023-07-28","09:30:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T157","Workshop","","Talk","We study the counting version of the Boolean satisfiability problem sSAT using the ZH-calculus, a graphical language originally introduced to reason about quantum circuits. Using this we find a natural extension of #SAT which we call #SAT_±, where variables are additionally labelled by phases, which is GapP-complete. Using graphical reasoning, we find a reduction from #SAT to #2SAT_± in the ZH-calculus. We observe that the DPLL algorithm for #2SAT can be adapted to #2SAT_± directly and hence that Wahlstrom's O^*(1.2377^n) upper bound applies to #2SAT_± as well. Combining this with our reduction from #SAT to #2SAT_± gives us novel upper bounds in terms of clauses and variables that are better than O^*(2^n) for small clause densities of fracmn &lt; 2.25. This is to our knowledge the first non-trivial upper bound for #SAT that is independent of clause size. Our algorithm improves on Dubois' upper bound for #kSAT whenever fracmn &lt; 1.85 and k geq 4, and the Williams' average-case analysis whenever fracmn &lt; 1.21 and k geq 6. We also obtain an upper bound of O^*(1.1740^L) for sSAT in terms of the length of the formula, and find an improved bound on #textbf3SAT for 1.2577 &lt; fracmn łeq frac73. Our results demonstrate that graphical reasoning can lead to new algorithmic insights, even outside the domain of quantum computing that the calculus was intended for. In addition, using the connection to counting problems, we find a new classical simulation algorithm for quantum computations that runs in O(1.38^g) where g is the number of gates."
"TQC","2023","regular","Parameterized Complexity of Weighted Local Hamiltonian Problems and the Quantum Exponential Time Hypothesis","Xingjian Li","Michael Bremner; Zhengfeng Ji; Xingjian Li; Luke Mathieson; Mauro Morales","","2211.05325","","2023-07-25","11:30:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T600","Workshop","http://arxiv.org/abs/2211.05325","Talk","We study a parameterized version of the local Hamiltonian problem, called the weighted local Hamiltonian problem, where the relevant quantum states are superpositions of computational basis states of Hamming weight latex k. The Hamming weight constraint can have a physical interpretation as a constraint on the number of excitations allowed or particle number in a system. We prove that this problem is in QW[1], the first level of the quantum weft hierarchy and that it is hard for QM[1], the quantum analogue of M[1]. Our results show that this problem cannot be fixed-parameter quantum tractable (FPQT) unless certain natural quantum analogue of the exponential time hypothesis (ETH) is false."
"TQC","2023","regular","Fault-tolerant Coding for Entanglement-Assisted Communication","Paula Belzig","Paula Belzig; Matthias Christandl; Alexander Müller-Hermes","","","","2023-07-26","11:30:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T641","Workshop","","Talk","We study a parameterized version of the local Hamiltonian problem, called the weighted local Hamiltonian problem, where the relevant quantum states are superpositions of computational basis states of Hamming weight k. The Hamming weight constraint can have a physical interpretation as a constraint on the number of excitations allowed or the particle number in a system. We prove that this problem is in QW[1], the first level of the quantum weft hierarchy, and that it is hard for QM[1], the quantum analogue of M[1]. Our results show that this problem cannot be fixed parameter quantum tractable (FPQT) unless certain natural quantum analogue of the exponential time hypothesis (ETH) is false."
"TQC","2023","regular","Security of differential phase shift QKD from relativistic principles","Martin Sandfuchs","Martin Sandfuchs; Marcus Haberland; V. Vilasini; Ramona Wolf","","2301.11340","","2023-07-26","15:40:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T686","Workshop","https://arxiv.org/abs/2301.11340","Talk","The design of quantum protocols for secure key generation poses many challenges: On the one hand, they need to be practical concerning experimental realisations. On the other hand, their theoretical description must be simple enough to allow for a security proof against all possible attacks. Often, these two requirements are in conflict with each other, and the differential phase shift (DPS) QKD protocol exemplifies these difficulties: It is designed to be implementable with current optical telecommunication technology, which, for this protocol, comes at the cost that many standard security proof techniques do not apply to it. After about 20 years since its invention, this work presents the first full security proof of DPS QKD against general attacks, including finite-size effects. The proof combines techniques from quantum information theory, quantum optics, and relativity. We first give a security proof of a QKD protocol whose security stems from relativistic constraints. We then show that security of DPS QKD can be reduced to security of the relativistic protocol. In addition, we show that coherent attacks on the DPS protocol are, in fact, stronger than collective attacks."
"TQC","2023","regular","The power and limitations of self-testing","David Rasmussen Lolck","David Rasmussen Lolck; Laura Mančinska; Simon Schmidt; Thor Nielsen; Jed Kaniewski","","","","2023-07-24","11:00:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T755","Workshop","https://github.com/Derzeed/Strengths-and-limitations-of-Self-Testing/blob/main/Strengths-and-limitations.pdf","Talk","Self-testing results allow us to characterize measurements and states in a quantum device from classical output probabilities in a nonlocal game. However, there is some variation in how the individual self- testing statements are stated and proven, including whether they apply robustly or assume purity of the state or protectiveness of the measurements. We investigate these differences, and as one of our main results show that if the reference strategy of a given game has full Schmidt rank, the notions of self-testing strategies using either mixed or pure states coincide. Additionally, we show by example that not all types of self-testing statements are equivalent: We both provide an example of a nonlocal game which is an exact, but not a robust, self-test, and an example of another game which does not self-test any state."
"TQC","2023","regular","Performance and limitations of the QAOA at constant levels on large sparse hypergraphs and spin glass models","Leo Zhou","Joao Basso; David Gamarnik; Song Mei; Leo Zhou","","2204.10306","","2023-07-25","11:00:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1002","Workshop","https://arxiv.org/abs/2204.10306","Talk","The Quantum Approximate Optimization Algorithm (QAOA) is a general purpose quantum algorithm designed for combinatorial optimization. We analyze its expected performance and prove concentration properties at any constant level (number of layers) on ensembles of random combinatorial optimization problems in the infinite size limit. These ensembles include mixed spin models and Max-q-XORSAT on sparse random hypergraphs. Our analysis can be understood via a saddle-point approximation of a sum-over-paths integral. This is made rigorous by proving a generalization of the multinomial theorem, which is a technical result of independent interest. We then show that the performance of the QAOA at constant levels for the pure q-spin model matches asymptotically the ones for Max-q-XORSAT on random sparse Erdos-Renyi hypergraphs and every large-girth regular hypergraph. Through this correspondence, we establish that the average-case value produced by the QAOA at constant levels is bounded away from optimality for pure q-spin models when q &gt;= 4 and is even. This limitation gives a hardness of approximation result for quantum algorithms in a new regime where the whole graph is seen."
"TQC","2023","regular","Erasure qubits","Aleksander Kubica","Aleksander Kubica; Arbel Haim; Yotam Vaknin; Fernando Brandao; Alex Retzker","","","","2023-07-26","11:00:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1022","Workshop","","Talk","We address a question of leveraging the noise bias to simplify quantum error correction (QEC) protocols and improve their performance. We focus on the previously unexplored bias between the amplitude damping and dephasing errors that is fundamental to many quantum technologies. We propose a simple scheme to convert amplitude damping errors into erasure errors. Despite its simplicity, our scheme significantly improves the performance of QEC protocols and can be extended to handle leakage errors. Importantly, we provide two concrete realizations with superconducting circuits, analyzing their performance both from the analytical and numerical perspective. Our results provide a breakthrough shift in the current architecture paradigm. Namely, they suggest that engineering efforts should focus on improving the dephasing and the quality of quantum coherent control, as they effectively limit the performance of fault-tolerant protocols."
"TQC","2023","regular","Quantum algorithms and the power of forgetting","Amin Shiraz Gilani","Andrew Childs; Matthew Coudron; Amin Shiraz Gilani","","2211.12447","","2023-07-25","15:10:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1025","Workshop","https://arxiv.org/abs/2211.12447","Talk","The so-called welded tree problem provides an example of a black-box problem that can be solved exponentially faster by a quantum walk than by any classical algorithm. Given the name of a special ENTRANCE vertex, a quantum walk can find another distinguished EXIT vertex using polynomially many queries, though without finding any particular path from ENTRANCE to EXIT. It has been an open problem for twenty years whether there is an efficient quantum algorithm for finding such a path, or if the path-finding problem is hard even for quantum computers. We show that a natural class of efficient quantum algorithms provably cannot find a path from ENTRANCE to EXIT. Specifically, we consider algorithms that, within each branch of their superposition, always store a set of vertex labels that form a connected subgraph including the ENTRANCE, and that only provide these vertex labels as inputs to the oracle. While this does not rule out the possibility of a quantum algorithm that efficiently finds a path, it is unclear how an algorithm could benefit by deviating from this behavior. Our no-go result suggests that, for some problems, quantum algorithms must necessarily forget the path they take to reach a solution in order to outperform classical computation."
"TQC","2023","regular","8 Algorithms for Transversal Diagonal Logical Operators of Stabiliser Codes","Mark Webster","Mark Webster; Armanda Quintavalle; Stephen Bartlett","","2303.15615","","2023-07-24","13:30:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1119","Workshop","https://arxiv.org/abs/2303.15615","Talk","Storing quantum information in a quantum error correction code can protect it from errors, but the ability to transform the stored quantum information in a fault tolerant way is equally important. Logical Pauli group operators can be implemented on Calderbank-Shor-Steane (CSS) codes, a commonly-studied category of codes, by applying a series of physical Pauli X and Z gates. Logical operators of this form are fault-tolerant because each qubit is acted upon by at most one gate, limiting the spread of errors, and are referred to as transversal logical operators. Identifying transversal logical operators outside the Pauli group is less well understood. Pauli operators are the first level of the Clifford hierarchy which is deeply connected to fault-tolerance and universality. In this work, we study transversal logical operators composed of single- and multi-qubit diagonal Clifford hierarchy gates. We demonstrate algorithms for identifying all transversal diagonal logical operators on a CSS code that are more general or have lower computational complexity than previous methods. We also show a method for constructing CSS codes that have a desired diagonal logical Clifford hierarchy operator implemented using single qubit phase gates. Our methods rely on representing operators composed of diagonal Clifford hierarchy gates as diagonal XP operators and this technique may have broader applications."
"TQC","2023","regular","Foundations for estimating Pauli noise in quantum error correction","Martin Kliesch","Thomas Wagner; Hermann Kampermann; Dagmar Bruß; Martin Kliesch","","2209.09267","","2023-07-24","14:00:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1371","Workshop","https://arxiv.org/abs/2209.09267 https://arxiv.org/abs/2107.14252","Talk","The characterization of quantum devices is crucial for their practical implementation but can be costly in experimental effort and classical post-processing. Therefore, it is desirable to measure only information that is relevant for specific applications and develop protocols that require little additional effort. In this work, we focus on the characterization of quantum computers in the context of stabilizer quantum error correction. We prove that (i) physical and (ii) logical error channels induced by Pauli noise can be estimated from syndrome data under minimal conditions. Essentially, any Pauli channel a code can correct can also be estimated from its syndrome measurements. We also provide a concrete estimation algorithm for this task."
"TQC","2023","regular","The nonequilibrium cost of accurate information processing","Fei Meng","Giulio Chiribella; Fei Meng; Renato Renner; Man-Hong Yung","","","","2023-07-25","15:10:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1396","Workshop","https://www.nature.com/articles/s41467-022-34541-w","Talk","Accurate information processing is crucial both in technology and in nature. To achieve it, any information processing system needs an initial supply of resources away from thermal equilibrium. Here we establish a fundamental limit on the accuracy achievable with a given amount of nonequilibrium resources. The limit applies to arbitrary information processing tasks and arbitrary information processing systems subject to the laws of quantum mechanics. It is easily computable and is expressed in terms of an entropic quantity, which we name the reverse entropy, associated to a time reversal of the information processing task under consideration. The limit is achievable for all deterministic classical computations and for all their quantum extensions. As an application, we establish the optimal tradeoff between nonequilibrium and accuracy for the fundamental tasks of storing, transmitting, cloning, and erasing information. Our results set a target for the design of new devices approaching the ultimate efficiency limit, and provide a framework for demonstrating thermodynamical advantages of quantum devices over their classical counterparts. This also implies a thermodynamic benchmark to certify genuine quantum devices from their classical simulation."
"TQC","2023","regular","Universal, deterministic, and exact protocol to reverse qubit-unitary and qubit-encoding isometry operations","Satoshi Yoshida","Satoshi Yoshida; Akihito Soeda; Mio Murao","","2209.02907","","2023-07-27","11:30:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1434","Workshop","https://arxiv.org/abs/2209.02907","Talk","In this work, we report a deterministic and exact protocol to reverse any unknown qubit-unitary and qubit-encoding isometry operations. We present the semidefinite programming (SDP) to search the Choi matrix representing a quantum circuit reversing any unitary operation. We derive a quantum circuit transforming four calls of any qubit-unitary operation into its inverse operation by imposing the SU(2)×SU(2) symmetry on the Choi matrix. This protocol only applies only for qubit-unitary operations, but we extend this protocol to any qubit-encoding isometry operations. For that, we derive a subroutine to transform a unitary inversion protocol to an isometry inversion protocol by constructing a quantum circuit transforming finite sequential calls of any isometry operation into random unitary operations."
"TQC","2023","regular","Sample-Optimal Quantum Process Tomography with Non-Adaptive Incoherent Measurements","Aadil Oufkir","Aadil Oufkir","","2301.12925","","2023-07-26","15:10:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1682","Workshop","https://arxiv.org/abs/2301.12925","Talk","How many copies of a quantum process are necessary and sufficient to construct an approximate classical description of it? We extend the result of Surawy-Stepney, Kahn, Kueng, and Guta (2022) to show that tildemathcalO(din^3dout^3/ε^2) copies are sufficient to learn any quantum channel mathdsC^dintimes dinrightarrowmathdsC^douttimes dout to within ε in diamond norm. Moreover, we show that Ømega(din^3dout^3/ε^2) copies are necessary for any strategy using incoherent non-adaptive measurements. This lower bound applies even for ancilla-assisted strategies."
"TQC","2023","regular","All Projective Measurements Can be Self-tested","Ranyiliu Chen","Ranyiliu Chen; Laura Mančinska; Jurij Volčič","","2302.00974","","2023-07-24","11:30:00","30","","","","","BibTeX entry type: Workshop (workshop track)","T1712","Workshop","https://arxiv.org/abs/2302.00974","Talk","We show that every real-valued projective measurement can be self-tested from correlations. To achieve this, we develop the theory of post-hoc self-testing, which extends existing self-tested strategies to incorporate new measurements. A sufficient and computationally feasible condition for a projective measurement to be post-hoc self-tested by a given strategy is proven. Recent work by Mančinska et al. [arXiv:2103.01729] showed that a strategy containing d+1 two-output projective measurements and the maximally entangled state with the local dimension d is self-tested. Applying the post-hoc self-testing technique to this work results in an extended strategy that can incorporate any real-valued projective measurement. We further study the general theory of iterative post-hoc self-testing whenever the state in the initial strategy is maximally entangled and characterize the iteratively post-hoc self-tested measurements in terms of a Jordan algebra generated by the initial strategy."
