venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2022,regular,Gao (U Houston): Rapid thermalization of 1D commuting Hamiltonians [Bardet/Capel/Gao/Lucia/Perez-Garcia/Rouzé],Li Gao,Li Gao,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,11:25,25
TQC,2022,regular,França (Inria Lyon): Efficient and robust estimation of many-qubit Hamiltonians [França/Werner/Borregaard/Markovich/Dobrovitski],Daniel Stilck França,Daniel Stilck França,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,11:50,25
TQC,2022,regular,Chowdhury (Waterloo): On the complexity of quantum partition functions [Chowdhury/Bravyi/Gosset/Wocjan],Anirban Chowdhury,Anirban Chowdhury,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,12:15,25
TQC,2022,regular,Huggins (Google): Nearly Optimal Quantum Algorithms for Estimating Multiple Expectation Values [Huggins/Wan/McClean/O'Brien/Wiebe/Babbush],William Huggins,William Huggins,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,14:10,25
TQC,2022,regular,Cervero (Copenhagen): Weak Schur sampling with logarithmic quantum memory [Cervero/Mančinska],Enrique Cervero,Enrique Cervero,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,14:35,25
TQC,2022,regular,Poremba (Caltech): Improved Approximation Algorithms for Fidelity Estimation [Gilyén/Poremba],Alexander Poremba,Alexander Poremba,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,15:00,25
TQC,2022,regular,Magann (Sandia): Feedback-based quantum optimization [Magann/Rudinger/Grace/Sarovar],Alicia Magann,Alicia Magann,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,16:15,25
TQC,2022,regular,Ortiz Marrero (PNNL): Training quantum neural networks with an unbounded loss function [Ortiz Marrero/Kieferova/Wiebe],Carlos Ortiz Marrero,Carlos Ortiz Marrero,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,16:40,25
TQC,2022,regular,Strelchuk (Cambridge): Speeding up Learning Quantum States through Group Equivariant Convolutional Quantum Ansatze [Zheng/Li/Liu/Strelchuk/Kondor],Sergii Strelchuk,Sergii Strelchuk,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,17:05,25
TQC,2022,invited,"Lami (U Ulm): Irreversibility of quantum resources, from entanglement to magic",Ludovico Lami,Ludovico Lami,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,09:00,45
TQC,2022,regular,Khatri (FU Berlin): Policies for elementary links in a quantum network,Sumeet Khatri,Sumeet Khatri,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,09:45,25
TQC,2022,regular,"Lami (U Ulm): Attainability and lower semi-continuity of the relative entropy of entanglement, and variations on the theme [Lami/Shirokov]",Ludovico Lami,Ludovico Lami,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,10:10,25
TQC,2022,regular,Rosenthal (Toronto): Query and Depth Upper Bounds for Quantum Unitaries via Grover Search,Gregory Rosenthal,Gregory Rosenthal,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,11:00,25
TQC,2022,regular,Fang (UC Berkeley): Time-dependent Hamiltonian Simulation of Highly Oscillatory Dynamics and superconvergence for the Schrödinger equation [An/Fang/Lin],Di Fang,Di Fang,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,11:50,25
TQC,2022,regular,Qassim (Keysight): Improved upper bounds on the stabilizer rank of magic states [Qassim/Pashayan/Gosset],Hammam Qassim,Hammam Qassim,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,14:10,25
TQC,2022,regular,Hirche (TUM/NUS): Bounding quantum capacities via partial orders and complementarity [Hirche/Leditzky],Christoph Hirche,Christoph Hirche,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,15:25,25
TQC,2022,regular,Hirche (TUM/NUS): Quantum Differential Privacy: An Information Theory Perspective [Hirche/Rouze/França],Christoph Hirche,Christoph Hirche,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-13,15:50,25
TQC,2022,regular,Zhao (Baidu): Information recoverability of noisy quantum states [Zhao/Zhao/Xia/Wang],Xuanqiang Zhao,Xuanqiang Zhao,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,09:00,25
TQC,2022,regular,Baghali Khanian (TU Munich): Quantum Rate Distortion Theory for Mixed States [Khanian/Kuroiwa/Leung],Zahra Baghali Khanian,Zahra Baghali Khanian,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,09:25,25
TQC,2022,regular,Huber (Jagiellonian U Krakow): Dimension-free entanglement detection in multipartite Werner states [Huber/Klep/Magron/Volčič],Felix Huber,Felix Huber,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,09:50,25
TQC,2022,regular,Grinko (QuSoft/UvA): Linear programming with unitary-equivariant constraints [Grinko/Ozols],Dmitry Grinko,Dmitry Grinko,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,10:15,25
TQC,2022,regular,"Apers (CNRS, IRIF): Quadratic speedup for spatial search by continuous-time quantum walk [Apers/Chakraborty/Novo/Roland]",Simon Apers,Simon Apers,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,11:00,25
TQC,2022,regular,Polloreno (JILA/Colorado): Opportunities and Limitations in Broadband Sensing [Polloreno/Beckey/Levin/Shlosberg/Thompson/Foss-Feig/Hayes/Smith],Anthony Polloreno,Anthony Polloreno,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,11:50,25
TQC,2022,regular,Hung (UT Austin): Classical verification of quantum depth [Chia/Hung],Shih-Han Hung,Shih-Han Hung,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,12:15,25
TQC,2022,regular,Behera (Ben Gurion): Noise-Tolerant Quantum Tokens for MAC [Shinar/Behera/Sattath],Amit Behera,Amit Behera,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,14:35,25
TQC,2022,regular,"Metger (ETH Zurich): Quantum cryptography with classical communication: parallel remote state preparation for copy-protection, verification, and more [Gheorghiu/Metger/Poremba]",Tony Metger,Tony Metger,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,15:00,25
TQC,2022,regular,Boddu (CQT): Quantum secure non-malleable-extractors [Boddu/Kapshikar/Jain],Naresh Goud Boddu,Naresh Goud Boddu,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,15:25,25
TQC,2022,regular,Karvonen (Ottawa): Neither Contextuality nor Nonlocality Admits Catalysts,Martti Karvonen,Martti Karvonen,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,16:15,25
TQC,2022,regular,Zurel (UBC): Hidden Variable Model for Quantum Computation with Magic States on Any Number of Qudits of Any Dimension [Zurel/Okay/Raussendorf/Heimendahl],Michael Zurel,Michael Zurel,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,16:40,25
TQC,2022,regular,Zeng (U Chicago): Quantum Complementarity Approach to Device-Independent Security [Zhang/Zeng/Ye/Lo/Ma],Pei Zeng,Pei Zeng,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,17:05,25
TQC,2022,regular,Chen (UIUC): Information Carried by a Single Particle in Multiple-Access Channels [Chen/Zhang/Chitambar/Lorenz/Winter],Xinan Chen,Xinan Chen,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-14,17:30,25
TQC,2022,invited,Bouland (Stanford): An inverse-free Solovay-Kitaev algorithm,Adam Bouland,Adam Bouland,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-15,09:00,45
TQC,2022,regular,Oszmaniec (CFT PAN): Saturation and recurrence of quantum complexity for random quantum circuits [Oszmaniec/Horodecki/Hunter-Jones],Michal Oszmaniec,Michal Oszmaniec,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-15,09:45,25
TQC,2022,regular,Caro (FU Berlin): Generalization guarantees for variational quantum machine learning [Caro/Gil-Fuster/Meyer/Eisert/Sweke/Huang/Cerezo/Sharma/Sornborger/Cincio/Coles],Matthias C. Caro,Matthias C. Caro,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-15,11:00,25
TQC,2022,regular,Shayeghi (INRIA Lyon / ENS Lyon): A lower bound on the space overhead of fault-tolerant quantum computation [Fawzi/Müller-Hermes/Shayeghi],Ala Shayeghi,Ala Shayeghi,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-15,11:50,25
