venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,speaker,scheduled_date,scheduled_time,duration_minutes
QIP,2026,contributed,Causal decompositions of 1D quantum cellular automata,,Augustin Vanrietvelde;Octave Mestoudjian;Pablo Arrighi,Télécom Paris -- Institut Polytechnique de Paris;Université Paris-Saclay;Inria Saclay,"Understanding quantum theory's causal structure stands out as a major matter, since it radically departs from classical notions of causality. We present advances in the research program of causal decompositions, which investigates the existence of an equivalence between the causal and the compositional structures of unitary channels. Our results concern one-dimensional Quantum Cellular Automata (1D QCAs), i.e.\ unitary channels over a line of N quantum systems (with or without periodic boundary conditions) that feature a causality radius r: a given input cannot causally influence outputs at a distance more than r. We prove that, for N ≥ 4r + 1, 1D QCAs all admit causal decompositions: a unitary channel is a 1D QCA if and only if it can be decomposed into a unitary routed circuit of nearest-neighbour interactions, in which its causal structure is compositionally obvious. This provides the first constructive form of 1D QCAs with causality radius one or more, fully elucidating their structure. In addition, we show that this decomposition can be taken to be translation-invariant for the case of translation-invariant QCAs. Our proof of these results makes use of innovative algebraic techniques, leveraging a new framework for capturing partitions into non-factor sub-C* algebras.",2506.22219,,,,,,Accepted,Augustin Vanrietvelde,26 January,13:30,30
QIP,2026,contributed,Fourier Spectrum of Noisy Quantum Algorithms,,Uma Girish,Columbia University,"Quantum computing promises exponential speedups for certain problems, yet fully universal quantum computers remain out of reach and near-term devices are inherently noisy. Motivated by this, we study noisy quantum algorithms and the landscape between BQP and BPP. We build on a powerful technique to differentiate quantum and classical algorithms called the level-$\ell$ Fourier growth (the sum of absolute values of Fourier coefficients of sets of size $\ell$) and show that it can also be used to differentiate quantum algorithms based on the types of resources used. We show that noise acting on a quantum algorithm dampens its Fourier growth in ways intricately linked to the type of noise.

Concretely, we study noisy models of quantum computation where highly mixed states are prevalent, namely: DQC_k algorithms, where k qubits are clean and the rest are maximally mixed, and 1/2-BQP algorithms, where the initial state is maximally mixed, but the algorithm is given knowledge of the initial state at the end of the computation. We establish upper bounds on the Fourier growth of DQC_k, 1/2-BQP and BQP algorithms and leverage the differences between these bounds to derive oracle separations between these models. In particular, we show that the 2-Forrelation and 3-Forrelation problems require $N^{\Omega(1)}$ queries in the DQC_1 and 1/2-BQP models respectively. Our results are proved using a new matrix decomposition lemma that might be of independent interest.",,,,,,,Accepted,Uma Girish,26 January,14:00,30
QIP,2026,contributed,Efficient and simple Gibbs sampling state preparation of the 2D toric code via duality to classical Ising chains,,Pablo Páez Velasco;Niclas Schilling;Samuel O. Scalet;Frank Verstraete;Ángela Capel,Universidad Complutense de Madrid / ICMAT;University of Tübingen;University of Cambridge / IBM;University of Cambridge / Ghent University;University of Cambridge / University of Tübingen,"We introduce the notion of polynomial-depth duality transformations, which relates two sets of operator algebras through a conjugation by a poly-depth quantum circuit, and make use of this to construct efficient Gibbs samplers for a variety of interesting quantum Hamiltonians as they are poly-depth dual to classical Hamiltonians. This is for example the case for the 2D toric code, which is demonstrated to be poly-depth dual to two decoupled classical Ising spin chains for any system size, and we give evidence that such dualities hold for a wide class of stabilizer Hamiltonians.  Additionally, we extend the above notion of duality to Lindbladians in order to show that mixing times and other quantities such as the spectral gap or the modified logarithmic Sobolev inequality are preserved under duality.",2508.00126,,,,,,Accepted,,,,
QIP,2026,contributed,Random Unitaries in Constant (Quantum) Time,,Benjamin Foxman;Natalie Parham;Francisca Vasconcelos;Henry Yuen,Yale University;Columbia University;UC Berkeley;Columbia University,"Random unitaries are a central object of study in quantum information, with applications to quantum computation, quantum many-body physics, and quantum cryptography. Recent work has constructed unitary designs and pseudorandom unitaries (PRUs) using $\Theta(\log \log n)$-depth unitary circuits with two-qubit gates. 

   In this work, we show that unitary designs and PRUs can be efficiently constructed in several well-studied models of \emph{constant-time} quantum computation (i.e., the time complexity on the quantum computer is independent of the system size). These models are constant-depth circuits augmented with certain nonlocal operations, such as (a) many-qubit TOFFOLI gates, (b) many-qubit FANOUT gates, or (c) mid-circuit measurements with classical feedforward control. Recent advances in quantum computing hardware suggest experimental feasibility of these models in the near future. 

   Our results demonstrate that unitary designs and PRUs can be constructed in much weaker circuit models than previously thought. 
   Furthermore, our construction of PRUs in constant-depth with many-qubit TOFFOLI gates shows that, under cryptographic assumptions, there is no polynomial-time learning algorithm for the circuit class $\mathsf{QAC^0}$. Finally, our results suggest a new approach towards proving that PARITY is not computable in $\mathsf{QAC^0}$, a long-standing question in quantum complexity theory.",2508.11487,,,,,,Accepted,Benjamin Foxman,26 January,13:30,30
QIP,2026,contributed,Can effective descriptions of bosonic systems be considered complete?,,Francesco Arzani;Robert Booth;Ulysse Chabaud,ENS - INRIA;University of Oxford;ENS - INRIA,"Bosonic statistics give rise to remarkable phenomena, from the Hong-Ou-Mandel effect to Bose-Einstein condensation, with applications spanning fundamental science to quantum technologies.  Modelling bosonic systems relies heavily on effective descriptions: typically, truncating their infinite-dimensional state space or restricting their dynamics to a simple class of Hamiltonians, such as polynomials of canonical operators. However, many natural bosonic Hamiltonians do not belong to these simple classes, and some quantum effects harnessed by bosonic computers inherently require infinite-dimensional spaces. Can we trust  results obtained with such simplifying assumptions to capture real effects?

We solve this outstanding problem, showing that these effective descriptions do correctly capture the physics of bosonic systems. Our technical contributions are twofold: first, we prove that any physical bosonic unitary evolution can be accurately approximated by a finite-dimensional unitary evolution; second, we show that any finite-dimensional unitary evolution can be generated exactly by a bosonic Hamiltonian that is a polynomial of canonical operators. Beyond their fundamental significance, our results have implications for classical and quantum simulations of bosonic systems, provide universal methods for engineering bosonic quantum states and Hamiltonians, show that polynomial Hamiltonians generate universal gate sets for quantum computing over bosonic modes, and lead to a bosonic Solovay-Kitaev theorem.",2501.13857,,,,,,Accepted,Francesco Arzani,27 January,13:00,30
QIP,2026,contributed,Tile codes,,Vincent Steffan;Shin Ho Choe;Nikolas P. Breuckmann;Francisco Revson Fernandes Pereira;Jens Niklas Eberhardt;Zijian Liang;Yu-An Chen,IQM Germany;IQM Germany;Breuqmann Ltd.;IQM Germany;Johannes Gutenberg-Universität Mainz;Peking University;Peking University,"We introduce tile codes, a simple yet powerful way of constructing quantum codes that are local on a planar 2D-lattice. Tile codes generalize the usual surface code by allowing for a bit more flexibility in terms of locality and stabilizer weight. Our construction does not compromise on the fact that the codes are local on a lattice with open boundary conditions. Despite its simplicity, we use our construction to find codes with parameters [[288,8,12]] using weight-6 stabilizers and [[288,8,14]] using weight-8 stabilizers, outperforming all previously known constructions in this direction. Allowing for a slightly higher non-locality, we find a [[512,18,19]] code using weight-8 stabilizers, which outperforms the rotated surface code by a factor of more than 12. Our approach provides a unified framework for understanding the structure of codes that are local on a 2D planar lattice and offers a systematic way to explore the space of possible code parameters. In particular, due to its simplicity, the construction naturally accommodates various types of boundary conditions and stabilizer configurations, making it a versatile tool for quantum error correction code design.","https://doi.org/10.1103/l4mx-l3xx, https://arxi",,,,,,Accepted,Vincent Steffan,26 January,17:00,30
QIP,2026,contributed,Unfolded distillation: very low-cost magic state preparation for biased-noise qubits,,Diego Ruiz;Jérémie Guillaud;Christophe Vuillot;Mazyar Mirrahimi,Inria - Alice&Bob;Alice&Bob;Alice&Bob;Inria,"Magic state distillation enables universal fault-tolerant quantum computation by implementing non-Clifford gates via the preparation of high-fidelity magic states. However, it comes at the cost of substantial logical-level overhead in both space and time. In this work, we propose a very low-cost magic state distillation scheme for biased-noise qubits. By leveraging the noise bias, our scheme enables the preparation of a magic state with a logical error rate of 3×10^(−7), using only 53 qubits and 5.5 error correction rounds, under a noise bias of η ≳ 5×10^6 and a phase-flip noise rate of 0.1%. This reduces the circuit volume by more than one order of magnitude relative to magic state cultivation for unbiased-noise qubits and by more than two orders of magnitude relative to standard magic state distillation. Moreover, our scheme provides three key advantages over previous proposals for biased-noise qubits. First, it only requires nearest-neighbor two-qubit gates on a 2D lattice. Second, the logical fidelity remains nearly identical even at a more modest noise bias of η ≳ 80, at the cost of a slightly increased circuit volume. Third, the scheme remains effective even at high physical phase-flip rates, in contrast to previously proposed approaches whose circuit volume grows exponentially with the error rate. Our construction is based on unfolding the X stabilizer group of the Hadamard 3D quantum Reed-Muller code in 2D, enabling distillation at the physical level rather than the logical level, and is therefore referred to as unfolded distillation.",https://arxi,,,,,,Accepted,Diego Ruiz,27 January,15:00,30
QIP,2026,contributed,Obfuscation of Unitary Quantum Programs,,Miryam Mi-Ying Huang;Er-Cheng Tang,University of Southern California;University of Washington,"Program obfuscation aims to hide the inner workings of a program while preserving its functionality. In the quantum setting, recent works have obtained obfuscation schemes for specialized classes of quantum circuits. For instance, Bartusek, Brakerski, and Vaikuntanathan (STOC 2024) constructed a quantum state obfuscation scheme, which supports the obfuscation of quantum programs represented as quantum states for pseudo-deterministic quantum programs with classical inputs and outputs in the classical oracle model.

In this work, we improve upon existing results by constructing the first quantum state obfuscation scheme for unitary (or approximately unitary) quantum programs supporting quantum inputs and outputs in the classical oracle model. At the core of our obfuscation scheme are two novel ingredients: a functional quantum authentication scheme that allows key holders to learn specific functions of the authenticated quantum state with simulation-based security, and a compiler that represents an arbitrary quantum circuit as a projective linear-plus-measurement quantum program described by a sequence of non-adaptive Clifford gates interleaved with adaptive and compatible measurements.",2507.11970,,,,,,Accepted,,,,
QIP,2026,plenary_short,A Constant Rate Quantum Computer on a Line,,Craig Gidney;Thiago Bergamaschi,Google Quantum AI;UC Berkeley,"We prove by construction that the Bravyi-Poulin-Terhal bound on the spatial density of
stabilizer codes does not generalize to stabilizer circuits. To do so, we construct a fault tolerant quantum computer with a coding rate above 5$\%$ and quasi-polylog time overhead, out of a line of qubits with nearest-neighbor connectivity, and prove it has a threshold. The construction is based on modifications to the tower of Hamming codes of Yamasaki and Koashi (Nature Physics, 2024), with operators measured using a variant of Shor’s measurement gadget.",2502.16132,,,,,,AcceptedAsPlenary,Thiago Bergamaschi,26 January,11:00,30
QIP,2026,contributed,Optimal quantum simulation of linear non-unitary dynamics,,Guang Hao Low;Rolando D. Somma,Google;Google,"We present a quantum algorithm for simulating the time evolution generated by any bounded, time-dependent operator $-A$ with non-positive logarithmic norm, thereby serving as a natural generalization of the Hamiltonian simulation problem.
Our method generalizes the recent Linear-Combination-of-Hamiltonian-Simulation (LCHS) framework.
In instances where $A$ is time-independent,
we provide a block-encoding of the evolution operator $e^{-At}$ with $\mathcal{O}\big(t\log\frac{1}{\epsilon})$ queries to the block-encoding oracle for $A$. 
We also show how the normalized evolved state can be prepared with $\mathcal{O}(1/\|e^{-At}\ket{\vec{u}_0}\|)$ queries to the oracle that prepares the normalized initial state $\ket{\vec{u}_0}$.
These complexities are optimal in all parameters and improve the error scaling over prior results.
Furthermore, we  show that any improvement of our approach exceeding a constant factor of approximately 3 is infeasible.
For general time-dependent operators $A$, we also prove that a uniform trapezoidal rule on our LCHS construction yields exponential convergence, leading to simplified quantum circuits with improved gate complexity compared to prior nonuniform-quadrature methods.",2508.19238,,,,,,Accepted,Guang Hao Low,27 January,15:00,30
QIP,2026,merged_contributed,Quantum Lifting for Invertible Permutations and Ideal Ciphers,,Alexandru Cojocaru;Minki Hhan;Qipeng Liu;Takashi Yamakawa;Aaram Yun,University of Edinburgh;University of Texas at Austin;UC San Diego;NTT Social Informatics Laboratories;Ewha Womans University,"In this work, we derive the first lifting theorems for establishing security in the quantum
random permutation and ideal cipher models. These theorems relate the success probability of
an arbitrary quantum adversary to that of a classical algorithm making only a small number of
classical queries.
By applying these lifting theorems, we improve previous results and obtain new quantum query complexity bounds and post-quantum security results. Notably, we derive tight bounds for the quantum hardness of the double-sided zero search game and establish the post-quantum security for the preimage resistance, one-wayness, and multi-collision resistance of 
constant-round sponge, as well as the collision resistance of the Davies-Meyer construction.",2504.18188,,,,,,AcceptedAsMerge,,,,
QIP,2026,merged_contributed,Quantitative Quantum Soundness for Bipartite Compiled Bell Games via the Sequential NPA Hierarchy,,Xiangling Xu;Igor Klep;Connor Paddock;Marc-Olivier Renou;Simon Schmidt;Lucas Tendick;Yuming Zhao,"Inria Paris-Saclay;University of Ljubljana, Faculty of Mathematics and Physics;University of Ottawa;Inria Paris-Saclay, CPHT, Ecole polytechnique, Institut Polytechnique de Paris, Palaiseau;Ruhr University Bochum;Inria Paris-Saclay;University of Copenhagen","Compiling Bell games under cryptographic assumptions replaces the need for physical separation, allowing nonlocality to be probed with a single untrusted device. While Kalai et al. (STOC'23) showed that this compilation preserves quantum advantages, its quantitative quantum soundness has remained an open problem. We address this gap with two primary contributions. First, we establish the first quantitative quantum soundness bounds for every bipartite compiled Bell game whose optimal quantum strategy is finite-dimensional: any polynomial-time prover's score in the compiled game is negligibly close to the game's ideal quantum value. More generally, for all bipartite games we show that the compiled score cannot significantly exceed the bounds given by a newly formalized convergent sequential Navascués-Pironio-Acín (NPA) hierarchy. Second, we provide a full characterization of this sequential NPA hierarchy, establishing it as a robust numerical tool that is of independent interest. Finally, for games without finite-dimensional optimal strategies, we explore the necessity of NPA approximation error for quantitatively bounding their compiled scores, linking these considerations to the complexity conjecture $\mathrm{MIP}^{\mathrm{co}}=\mathrm{coRE}$ and open challenges such as quantum homomorphic encryption correctness for ""weakly commuting"" quantum registers.",https://arxi,,,,,,AcceptedAsMerge,,,,
QIP,2026,plenary_long,Group Order is in QCMA,,François Le Gall;Harumichi Nishimura;Dhara Thakkar,Nagoya University;Nagoya University;Nagoya University,"In this work, we show that verifying the order of a finite group given as a black-box is in the complexity class QCMA. This solves an open problem asked by Watrous in 2000 in his seminal paper on quantum proofs and directly implies that the Group Non-Membership problem is also in the class QCMA, which further proves a conjecture proposed by Aaronson and Kuperberg in 2006. Our techniques also give improved quantum upper bounds on the complexity of many other group-theoretical problems, such as group isomorphism in black-box groups.",2504.05547,,,,,,AcceptedAsLongPlenary,Harumichi Nishimura,27 January,09:00,60
QIP,2026,contributed,Universal quantum computing in two dimensions without getting tied in knots,,Julio Magdalena de la Fuente;Margarita Davydova;Andreas Bauer;Mark Webster;Dominic Williamson;Benjamin Brown,Freie Universität Berlin;Caltech;MIT;University College London;University of Sydney;IBM,"We show how to perform scalable fault-tolerant non-Clifford gates in two dimensions by introducing domain walls between the surface code and a non-Abelian topological code whose codespace is stabilized by Clifford operators. We formulate a path integral framework which provides both a macroscopic picture for different logical gates as well as a way to derive the associated microscopic circuits.
We present explicit protocols and planar non-Clifford circuits that implement non-Clifford logic gates on both surface codes as well as color codes on different geometries. The logical action of the protocol is determined by the spacetime geometry, using the same bulk circuit, composed of simple 2D local circuits of similar complexity to commonly used stabilizer-readout circuits.
We present fault-tolerant schemes for logical Clifford measurements as well as diagonal unitary gates in the third level of the Clifford hierarchy such as T, CS and CCZ gate.
We also show an equivalence between our approach and prior proposals where a 2D array of qubits reproduces the action of a transversal gate in a 3D stabilizer code over time, thus, establishing a new connection between 3D codes and 2D non-Abelian topological phases. We prove a threshold theorem for our protocols under local stochastic circuit noise using a just-in-time decoder to correct the non-Abelian code.","2503.15751, 2505.05175",,,,,,Accepted,Julio Magdalena de la Fuente,30 January,15:30,30
QIP,2026,merged_contributed,Complexity of mixed Schatten norms of quantum maps,,Jan Kochanowski;Omar Fawzi;Cambyse Rouzé,"Institut Polytechnique de Paris, INRIA Saclay;ENS Lyon, INRIA Lyon;Institut Polytechnique de Paris, INRIA Saclay","We study the complexity of computing the mixed Schatten $\|\Phi\|_{q\to p}$ norms of linear maps $\Phi$ between matrix spaces. 
When $\Phi$ is completely positive, we show that $\| \Phi \|_{q \to p}$ can be computed efficiently when $q \geq p$. The regime $q \geq p$ is known as the non-hypercontractive regime and is also known to be easy for the mixed vector norms $\ell_{q} \to \ell_{p}$ [Boyd, 1974]. However, even for entanglement-breaking completely-positive trace-preserving maps $\Phi$, we show that computing $\| \Phi \|_{1 \to p}$ is $\NP$-complete when $p>1$. Moving beyond the completely-positive case and considering $\Phi$ to be difference of entanglement breaking completely-positive trace-preserving maps, we prove that computing $\| \Phi \|^+_{1 \to 1}$ is $\NP$-complete. In contrast, for the completely-bounded (cb) case, we describe a polynomial-time algorithm to compute $\|\Phi\|_{cb,1\to p}$ and $\|\Phi\|^+_{cb,1\to p}$ for any linear map $\Phi$ and $p\geq1$.",arxi,,,,,,AcceptedAsMerge,,,,
QIP,2026,contributed,Distributed Quantum Advantage for Local Problems,,Alkida Balliu;Sebastian Brandt;Filippo Casagrande;Xavier Coiteux-Roy;Francesco d'Amore;Barbara Keller;Massimo Equi;François Le Gall;Henrik Lievonen;Augusto Modanese;Dennis Olivetti;Marc-Olivier Renou;Jukka Suomela;Gustav Schmid;Lucas Tendick;Isadora Veeren,Gran Sasso Science Institute;CISPA Helmholtz Center for Information Security;Gran Sasso Science Institute;University of Calgary /Technical University of Munich;Gran Sasso Science Institute;Aalto University;Aalto University;Nagoya University;Aalto University;Aalto University;Gran Sasso Science Institute;Inria Paris-Saclay / Ecole Polytechnique;Aalto University;University of Freiburg;Inria Paris-Saclay / Ecole Polytechnique;Inria Paris-Saclay / Ecole Polytechnique,"We present the first \emph{local} problems that show a super-constant separation between the classical randomized LOCAL model of distributed computing and its quantum counterpart. By prior work, such a separation was known only for an artificial graph problem with an inherently \emph{global} definition [Le Gall et al.\ 2019].
This submission consists of two works: 
\begin{itemize}
  \item The first work\footnote{{\bf Distributed Quantum Advantage for Local Problems} by Balliu, Brandt, Coiteux-Roy, d'Amore, Equi, Le Gall, Lievonen, Modanese, Olivetti, Renou, Suomela, Tendick and Veeren. \emph{Proceedings of the 57th ACM Symposium on Theory of Computing (STOC 2025)}, pp. 451-462, 2025.} presents a problem that we call \emph{iterated GHZ}, which is defined using only local constraints. We show that in graphs of maximum degree $\Delta$, any classical (deterministic or randomized) LOCAL model algorithm will require $\Omega(\Delta)$ rounds to solve the iterated GHZ problem, while the problem can be solved in $1$ round in quantum-LOCAL.
  \item The second work\footnote{{\bf Distributed Quantum Advantage in Locally Checkable Labeling Problems} by Balliu, Casagrande, d'Amore, Equi, Keller, Lievonen, Olivetti, Schmid and Suomela. arXiv:2504.05191, 2025.} shows the first known example of a local problem \emph{over a constant-degree graph} that admits asymptotic distributed quantum advantage in the LOCAL model of distributed computing: our problem can be solved in $O(\log n)$ communication rounds in the quantum-LOCAL model, but it requires $\Omega(\log n\cdot\log^{0.99}\log n)$ communication rounds in the classical randomized-LOCAL model.
\end{itemize}","2411.03240, 2504.05191",,,,,,Accepted,Alkida Balliu,30 January,09:30,30
